"eng_size_l","fuelcomblit","co2_emit"
2,8.5,196
2.4,9.6,221
1.5,5.9,136
3.5,11.1,255
3.5,10.6,244
3.5,10,230
3.5,10.1,232
3.7,11.1,255
3.7,11.6,267
2.4,9.2,212
2.4,9.8,225
3.5,10.4,239
1.8,8.4,193
5.9,15.6,359
5.9,15.6,359
4.7,14.7,338
4.7,15.4,354
4.7,14.7,338
4.7,15.4,354
5.9,15.6,359
2,8.8,202
2,10,230
2,9.3,214
2,10,230
2,10,230
2,9.3,214
2,10.2,235
3,10.9,251
3,8.1,217
3,11.2,262
3,8.1,217
3,11.2,258
4,11.3,265
3,8.4,224
3,11.2,258
4,12.5,288
6.3,15.5,363
3,8.4,224
2,10.5,242
2,10.4,239
3,11.2,258
3,9,244
2,9.2,212
3,13.2,304
3,10.7,290
4.2,14.6,336
4.2,17.7,407
5.2,14.8,347
5.2,17.8,409
4.2,14.6,336
4.2,17.7,407
5.2,14.8,347
5.2,17.8,409
4.2,13.3,306
4.2,13.4,308
4,12.5,293
3,11.4,262
3,12.4,285
3,11.4,262
3,12.4,285
3,11.6,267
4,12.2,281
4,12.2,281
4,12.8,300
3,12.7,292
2,9.1,209
2,9.1,209
2,10.3,237
2,10.3,237
4,13.4,314
6,15.5,356
4,14.2,332
6,16.5,380
6,16.5,380
6,16.5,388
6.8,19,437
2,8.4,193
2,8.7,200
2,8.8,202
2,6.7,181
2,6.7,181
2,8.4,193
2,8.7,200
2,9.1,209
2,9.1,209
2,9.1,209
3,9.6,221
3,10,230
3,9.9,228
3,10.3,237
3,10.1,232
2,8.4,193
2,8.7,200
2,9.1,209
3,9.6,221
3,10,230
3,9.9,228
3,10.3,237
2,8.8,202
2,9.1,209
3,7.9,213
3,10.1,232
3,10.7,246
4.4,12.2,281
4.4,12.7,292
3,10.1,232
4.4,12.7,292
4.4,12.2,281
4.4,12.7,292
3,10.7,246
4.4,12.7,292
4.4,12.7,292
6,15.5,356
3,8.3,191
3,9.3,214
3,9.2,212
4.4,12.7,292
4.4,12.7,292
4.4,14.7,338
4.4,13.8,317
4.4,14.7,338
4.4,13.8,317
4.4,14.7,338
4.4,13.8,317
4.4,14.7,338
4.4,13.8,317
2,9.1,209
3,11.3,260
2,10,230
3,11,253
3,11.1,255
4.4,13.9,320
4.4,16.1,370
3,11.9,274
