make,model,tran_type,eng_size_l,cyls,trans,fuel,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb_lp100k,fuel_cons_comb_mpg,co2_emit,veh_class
ACURA,ILX,AS5,2,4,A,Z,9.9,6.7,8.5,33,196,1
ACURA,ILX,M6,2.4,4,M,Z,11.2,7.7,9.6,29,221,1
ACURA,ILX HYBRID,AV7,1.5,4,A,Z,6,5.8,5.9,48,136,1
ACURA,MDX 4WD,AS6,3.5,6,A,Z,12.7,9.1,11.1,25,255,2
ACURA,RDX AWD,AS6,3.5,6,A,Z,12.1,8.7,10.6,27,244,2
ACURA,RLX,AS6,3.5,6,A,Z,11.9,7.7,10,28,230,3
ACURA,TL,AS6,3.5,6,A,Z,11.8,8.1,10.1,28,232,3
ACURA,TL AWD,AS6,3.7,6,A,Z,12.8,9,11.1,25,255,3
ACURA,TL AWD,M6,3.7,6,M,Z,13.4,9.5,11.6,24,267,3
ACURA,TSX,AS5,2.4,4,A,Z,10.6,7.5,9.2,31,212,1
ACURA,TSX,M6,2.4,4,M,Z,11.2,8.1,9.8,29,225,1
ACURA,TSX,AS5,3.5,6,A,Z,12.1,8.3,10.4,27,239,1
ALFA ROMEO,4C,AM6,1.8,4,A,Z,9.7,6.9,8.4,34,193,4
ASTON MARTIN,DB9,A6,5.9,12,A,Z,18,12.6,15.6,18,359,5
ASTON MARTIN,RAPIDE,A6,5.9,12,A,Z,18,12.6,15.6,18,359,6
ASTON MARTIN,V8 VANTAGE,AM7,4.7,8,A,Z,17.4,11.3,14.7,19,338,4
ASTON MARTIN,V8 VANTAGE,M6,4.7,8,M,Z,18.1,12.2,15.4,18,354,4
ASTON MARTIN,V8 VANTAGE S,AM7,4.7,8,A,Z,17.4,11.3,14.7,19,338,4
ASTON MARTIN,V8 VANTAGE S,M6,4.7,8,M,Z,18.1,12.2,15.4,18,354,4
ASTON MARTIN,VANQUISH,A6,5.9,12,A,Z,18,12.6,15.6,18,359,5
AUDI,A4,AV8,2,4,A,Z,9.9,7.4,8.8,32,202,1
AUDI,A4 QUATTRO,AS8,2,4,A,Z,11.5,8.1,10,28,230,1
AUDI,A4 QUATTRO,M6,2,4,M,Z,10.8,7.5,9.3,30,214,1
AUDI,A5 CABRIOLET QUATTRO,AS8,2,4,A,Z,11.5,8.1,10,28,230,6
AUDI,A5 QUATTRO,AS8,2,4,A,Z,11.5,8.1,10,28,230,6
AUDI,A5 QUATTRO,M6,2,4,M,Z,10.8,7.5,9.3,30,214,6
AUDI,A6 QUATTRO,AS8,2,4,A,Z,12,8.1,10.2,28,235,3
AUDI,A6 QUATTRO,AS8,3,6,A,Z,12.8,8.6,10.9,26,251,3
AUDI,A6 QUATTRO TDI (modified),AS8,3,6,A,D,9.8,6.2,8.1,35,217,3
AUDI,A7 QUATTRO,AS8,3,6,A,Z,13.3,8.5,11.2,25,262,3
